=== CREDTYPE in Windss ===
Code: 'AX' | Name: 'AMEX' | Status: '1'
Code: 'DC' | Name: 'Discover' | Status: '1'
Code: 'DT' | Name: 'Debit Card' | Status: '1'
Code: 'MA' | Name: 'MasterCard' | Status: '1'
Code: 'UP' | Name: 'Upton' | Status: '1'
Code: 'VI' | Name: 'Visa' | Status: '1'
Code: 'EG' | Name: 'Gift Card Redeem' | Status: '1'
Code: 'EM' | Name: 'Merchandise EGC' | Status: '1'
Code: 'DB' | Name: 'Mdse Credit Issue' | Status: '0'
Code: 'DR' | Name: 'Mdse Credit Redeem' | Status: '0'
Code: 'GC' | Name: 'Gift Cert Redeem' | Status: '0'
Code: 'ZY' | Name: 'Round Change' | Status: '0'
Code: 'B2' | Name: 'BPI Express ATM Card' | Status: '0'
Code: 'A2' | Name: 'BPI' | Status: '0'
Code: 'CA' | Name: 'Cash' | Status: '0'
Code: 'DI' | Name: 'Diners Club' | Status: '0'
Code: 'JC' | Name: 'JCB Card' | Status: '1'
Code: 'AE' | Name: 'AMEX (Conversion)' | Status: '0'
Code: 'C2' | Name: 'BANCNET' | Status: '0'
Code: 'MC' | Name: 'Corporate Check' | Status: '0'
Code: 'D2' | Name: 'UNIONPAY' | Status: '0'
Code: 'H2' | Name: 'BDO DEBIT' | Status: '0'
Code: 'J2' | Name: 'CITIBANK' | Status: '0'
Code: 'I2' | Name: 'GIFT CARD' | Status: '0'
Code: 'G2' | Name: 'METROBANK CREDITCARD' | Status: '0'
Code: 'F2' | Name: 'HSBC' | Status: '0'
Code: 'K2' | Name: 'REWARDS' | Status: '0'
Code: 'L2' | Name: 'BDO' | Status: '0'
Code: 'M2' | Name: 'DINERS' | Status: '0'
Code: 'TC' | Name: 'GC CLEARING' | Status: '0'
Code: 'DP' | Name: 'Promotion' | Status: '0'
Code: 'CH' | Name: 'Check' | Status: '0'
Code: 'N2' | Name: 'RCBC' | Status: '0'
Code: 'O2' | Name: 'RCBC Debit' | Status: '0'
Code: 'P2' | Name: 'Creditable Tax' | Status: '0'
Code: 'Q2' | Name: 'Withholding Vat' | Status: '0'
Code: 'S2' | Name: 'VAT Exempt' | Status: '0'
Code: 'T2' | Name: 'SUPPLIERS COUPON' | Status: '0'
Code: 'U2' | Name: 'MEGALINK' | Status: '0'
Code: 'R2' | Name: 'Coupon' | Status: '0'
Code: 'V2' | Name: 'Kanegosyo Wallet' | Status: '0'
Code: 'W2' | Name: 'BDO ZIP' | Status: '0'
Code: 'X2' | Name: 'BPI ZIP' | Status: '0'
Code: 'Y2' | Name: 'HSBC ZIP' | Status: '0'
Code: '92' | Name: 'NCCC PO CARD' | Status: '0'
Code: 'Z2' | Name: 'MBTC ZIP' | Status: '0'
Code: '52' | Name: 'METROBANK DEBIT CARD' | Status: '0'
